2240318,99,3
2625420,99,1
711595,99,2
774868,99,4
303948,99,3
2388344,99,2
1740732,99,1
1594606,99,2
1762088,99,3
18103,99,3
1273105,99,1
469461,99,2
1106380,99,3
2266166,99,1
1048894,99,2
1134816,99,3
1217301,99,2
2303969,99,3
2550838,99,1
518770,99,2
24373,99,3
525007,99,4
507499,99,3
1467809,99,1
2439493,99,1
824793,99,3
1676991,99,4
1563935,99,1
678022,99,4
1192459,99,2
2633254,99,1
322451,99,1
818752,99,3
2462042,99,3
192519,99,3
1828803,99,3
184178,99,2
110049,99,4
2222864,99,2
78867,99,3
767958,99,1
1644531,99,3
2055966,99,3
736125,99,3
2617405,99,3
1892504,99,3
2016486,99,2
2446939,99,3
1664010,99,3
558822,99,1
2613213,99,2
572481,99,1
1736933,99,2
1060699,99,4
2180934,99,2
1362663,99,3
1160572,99,1
1666419,99,3
1219733,99,2
1901461,99,1
1897386,99,2
1959066,99,2
1197475,99,1
1196471,99,3
71594,99,2
327821,99,2
2591324,99,3
1457134,99,3
266738,99,3
1479273,99,2
288218,99,4
2224741,99,4
1445952,99,1
2179353,99,2
1353371,99,3
1367651,99,2
798296,99,1
2047311,99,1
374063,99,4
555892,99,2
1157368,99,3
1030797,99,2
305344,99,4
1293660,99,1
638004,99,2
886972,99,5
1068387,99,4
210498,99,3
2270009,99,3
1583323,99,4
2439470,99,1
2101995,99,5
1292631,99,1
890165,99,2
868463,99,1
253047,99,2
752642,99,2
998950,99,2
462857,99,3
673043,99,3
2192059,99,1
2205547,99,3
1879524,99,3
2556179,99,5
696314,99,2
2620163,99,2
387418,99,2
1114324,99,1
210637,99,2
794999,99,5
1932594,99,1
377407,99,2
204441,99,1
350209,99,3
1639792,99,1
572647,99,3
2503502,99,4
1075362,99,3
1027423,99,3
2414865,99,3
201338,99,3
2624513,99,2
1578122,99,1
2648853,99,2
1110918,99,3
1263454,99,3
